experiment,iteration_time,samples_per_sec,tflops
weak_scaling_bs-13B-thread_stream-no_sharding-pp_16-bs_2,4.5199110788457535,3.552200739667401,37.14278438928337
weak_scaling_bs-13B-thread-no_sharding-pp_16-bs_2,4.709044122520615,3.403025754296629,35.58296986190397
weak_scaling_bs-7B-thread_stream-no_sharding-pp_8-bs_2,4.298363641780965,3.7882896532821726,41.51057188301229
weak_scaling_bs-34B-no_snapshot-no_sharding-pp_32-bs_2,5.472644820809364,2.9384074174228294,38.12077621660558
weak_scaling_bs-13B-bubble-no_sharding-pp_16-bs_2,3.382360321633956,4.730697916441348,49.46547382839215
weak_scaling_bs-13B-sync_snapshot-no_sharding-pp_16-bs_2,23.146857473780127,0.6915818291039005,7.2313691281865875
weak_scaling_bs-34B-thread_stream-no_sharding-pp_32-bs_2,6.405976829721647,2.501961655764735,32.45864403159822
weak_scaling_bs-7B-sync_snapshot-no_sharding-pp_8-bs_2,19.511987840428073,0.820956380950489,8.995713628903061
weak_scaling_bs-34B-thread-no_sharding-pp_32-bs_2,6.412041360841078,2.4966957648535697,32.39032816504569
weak_scaling_bs-7B-no_snapshot-no_sharding-pp_8-bs_2,3.2767958150190464,5.007055191293387,54.86532009512962
weak_scaling_bs-7B-pure_thread-no_sharding-pp_8-bs_2,8.331663682180292,2.0431899812447236,22.38846348869518
weak_scaling_bs-34B-sync_snapshot-no_sharding-pp_32-bs_2,39.29787735553349,0.40769278603778975,5.289111839808106
weak_scaling_bs-7B-thread-no_sharding-pp_8-bs_2,4.328094513977275,3.7525434911581264,41.11887965031662
weak_scaling_bs-34B-pure_thread-no_sharding-pp_32-bs_2,14.605453592889448,1.1040493703721772,14.323139374918686
weak_scaling_bs-7B-bubble-no_sharding-pp_8-bs_2,3.024638072532766,5.296842778009928,58.04069725742753
weak_scaling_bs-34B-bubble-no_sharding-pp_32-bs_2,5.416344260029933,2.9571517480688585,38.36395162844621
weak_scaling_bs-13B-pure_thread-no_sharding-pp_16-bs_2,10.170005672118243,1.5983936179321443,16.713241697488932
weak_scaling_bs-13B-no_snapshot-no_sharding-pp_16-bs_2,3.5804108048186585,4.539332446166725,47.46450402885609
